,Evaluation de la Linearité des methodes analytiques,,,,,,
,Produit,comprimé à 500mg,,,,,
,Methode,Dosage,,,,,
,Analysie,AST,,,,,
,,,,,,,
,Linearité sur le principe actif,,,,,,
,Date d'analyse,16/03/2026,,,,,
,,,,,,,
,"Concentration
théorique(Xi)
en %","Concentration
réelle(Xi réel)
en %",Signal (Yi),Moyenne (Yi),Xi',Bj,"Biais
moyen
(%)"
,80%,"79,83%",1032997000,1033931.333,0.8,100.42,100.01
,,,1034762000,,0.6,100.6,
,,,1034035000,,0.8,100,
,90%,"90,00%",1161408000,1162105.667,0.9,100.12,
,,,1162878000,,0.9,100.25,
,,,1162031000,,0.9,100.18,
,100%,"99,97%",1268362000,1270870.333,0.98,98.42,
,,,1271580000,,0.99,98.67,
,,,1272669000,,0.99,98.75,
,110%,"110,15%",1427845000,1428496,1.11,100.53,
,,,1429325000,,1.11,100.64,
,,,1428318000,,1.11,100.57,
,120%,"120,34%",1567445000,1554076.333,1.22,101,
,,,1547901000,,1.2,99.74,
,,,1546883000,,1.2,99.68,
