,,,,,,,,
,Linearité sur le Placebo chargé,,,,,,,
,Date d'analyse,16/03/2026,,,,,,
,,,,,,,,
,"Concentration
théorique(Xi)
en %","Concentration
réelle(Xi réel)
en %",Signal (Yi),moyenne (Yi),"Yi calculé par la
droite de
linéarité du
Placebo chargé","Yi calculé par
la droite de
linéarité du
Principe actif",Bi (%),"Biais moyen
(%)"
,80%,"79,92%",1030766000,1030341.667,1026908.518,1029807.306,99.72,100
,,,1030080000,,1026908.518,1029807.306,99.72,
,,,1030179000,,1026908.518,1029807.306,99.72,
,90%,"90,20%",1166761000,1166979.333,1161252.98,1162490.58,99.89,
,,,1168252000,,1161252.98,1162490.58,99.89,
,,,1165925000,,1161252.98,1162490.58,99.89,
,100%,"100,37%",1292336000,1292113.667,1294249.369,1293842.451,100.03,
,,,1291299000,,1294249.369,1293842.451,100.03,
,,,1292706000,,1294249.369,1293842.451,100.03,
,110%,"110,10%",1394082000,1394905.667,1421612.023,1419630.248,100.14,
,,,1394990000,,1421612.023,1419630.248,100.14,
,,,1395845000,,1421612.023,1419630.248,100.14,
,120%,"120,10%",1568941000,1572069,1552386.444,1548787.626,100.23,
,,,1577425000,,1552386.444,1548787.626,100.23,
,,,1569841000,,1552386.444,1548787.626,100.23,
,,,,,,,,
,Y= a' X + b',,,,,,,
,a',###########,,,,,,
,b',-18370.66502,,,,,,
,R,0.996674,,,,,,
,R²,0.993359,,,,,,
