,,,,,,,
,Linearité sur le Principe actif,,,,,,
,Date d'analyse,19/04/2023,,,,,
,,,,,,,
,"Concentration
théorique(Xi)
en %","Concentration
réelle(Xi réel)
en %",Signal (Yi),Moyenne (Yi),Xi',Bj,"Biais
moyen
(%)"
,80%,80.192,431610000,432354.667,80.41,100.28,100
,,,432508000,,80.58,100.48,
,,,432946000,,80.66,100.58,
,90%,90.216,483566000,483752.667,89.9,99.65,
,,,483705000,,89.92,99.67,
,,,483987000,,89.97,99.73,
,100%,100.24,539168000,539104.333,100.04,99.81,
,,,539464000,,100.1,99.86,
,,,538681000,,99.96,99.72,
,110%,110.264,594632000,594280.667,110.17,99.91,
,,,593934000,,110.04,99.8,
,,,594276000,,110.1,99.85,
,120%,120.288,651687000,651695,120.58,100.24,
,,,652051000,,120.65,100.3,
,,,651347000,,120.52,100.19,
,,,,,,,
,Y= a X + b,,,,,,
,a,5478.937217,,,,,
,b,-8971.2,,,,,
,R,0.999819,,,,,
,R²,0.999637,,,,,
