dosage_form,extraction_steps,api_stability,target_concentration,hist_rsd_precision,hist_r2_linearity,hist_recovery_accuracy,system_suitability_tailing,system_suitability_resolution,elution_type,run_time_minutes,full_validation_required
coated_tablet,3,7.1,6.244,0.549,0.99986,101.11,0.87,1.6,isocratic,23.6,0
coated_tablet,2,6.6,1.052,0.443,0.99999,101.03,0.94,3.14,gradient,14.4,0
coated_tablet,2,3.7,1.243,0.818,0.99999,100.87,0.85,2.3,isocratic,39.3,0
coated_tablet,2,4.2,5.098,0.838,0.99999,100.53,1.04,2.64,gradient,8.9,0
coated_tablet,2,3.0,1.57,0.588,1.0,99.91,1.1,2.07,isocratic,13.0,0
cream,4,2.9,0.73,1.296,0.991275,98.89,1.42,2.31,isocratic,21.7,1
api_powder,1,2.2,0.99,0.426,1.0,99.47,0.8,2.55,isocratic,8.6,0
cream,0,9.0,0.406,0.653,0.99997,99.89,0.86,2.06,isocratic,21.1,0
coated_tablet,2,3.4,3.736,0.495,0.99999,97.77,0.82,1.57,isocratic,19.3,1
api_powder,1,8.6,2.597,0.769,0.999973,100.31,1.05,3.14,gradient,32.6,0
coated_tablet,2,4.2,1.123,1.208,0.999846,100.46,1.25,1.69,isocratic,6.5,0
coated_tablet,1,2.4,1.78,0.552,1.0,100.06,0.93,2.81,isocratic,6.3,0
suspension,2,9.6,1.372,0.319,0.999975,100.53,1.31,2.32,isocratic,24.9,0
coated_tablet,2,7.6,0.406,0.346,0.999461,99.72,1.59,2.72,isocratic,24.4,0
suspension,3,6.7,1.1,0.315,0.999971,100.25,1.34,1.79,gradient,12.3,0
cream,1,3.6,0.571,0.822,0.999905,99.37,0.8,2.01,isocratic,16.2,0
coated_tablet,4,3.1,2.47,0.48,0.999986,101.15,1.2,2.5,gradient,10.4,0
suspension,0,4.9,0.177,0.613,0.998743,100.5,1.2,2.19,gradient,34.3,0
coated_tablet,1,3.9,0.978,0.716,0.99999,100.42,1.48,1.72,isocratic,4.2,0
suspension,1,4.3,1.325,1.144,0.99999,100.08,0.96,1.86,gradient,20.1,1
coated_tablet,0,6.1,3.512,0.223,0.99981,99.55,0.91,1.86,gradient,8.9,0
coated_tablet,2,6.6,0.601,0.785,0.99999,100.21,1.52,2.2,gradient,6.3,0
coated_tablet,0,7.4,0.292,2.035,0.999829,100.87,0.8,2.14,gradient,11.0,1
coated_tablet,0,3.8,0.92,0.551,1.0,100.44,0.8,1.9,isocratic,7.8,0
api_powder,1,8.9,0.499,1.228,0.999986,100.19,1.19,3.39,isocratic,4.6,0
api_powder,2,3.0,1.87,0.596,0.999618,99.48,1.49,2.08,isocratic,11.3,0
cream,4,2.8,0.817,0.366,0.999816,100.97,1.09,1.45,gradient,11.9,1
coated_tablet,1,4.7,0.87,0.402,1.0,99.91,1.2,1.97,isocratic,8.7,0
coated_tablet,2,2.2,1.863,1.325,0.99999,100.21,1.21,2.65,gradient,9.8,0
api_powder,0,4.4,1.96,0.631,1.0,99.7,0.92,2.54,isocratic,5.6,0
api_powder,2,2.0,1.218,0.675,0.999988,99.55,2.54,2.15,gradient,27.6,0
coated_tablet,0,5.0,1.8,0.394,1.0,99.86,1.24,2.48,isocratic,10.0,0
coated_tablet,2,3.2,0.86,0.507,0.99999,100.37,0.8,2.49,gradient,18.2,0
cream,1,1.2,1.404,0.671,0.997629,98.41,1.04,1.46,gradient,43.4,1
coated_tablet,1,2.5,1.515,0.718,0.999314,100.39,1.07,2.72,isocratic,9.2,0
coated_tablet,3,2.2,0.194,0.688,0.999716,99.78,0.82,2.33,isocratic,10.2,0
api_powder,1,2.7,0.83,1.952,0.99999,99.17,0.82,2.76,gradient,6.9,0
suspension,1,8.6,0.189,1.946,0.999921,99.74,1.15,1.87,gradient,21.7,1
coated_tablet,2,5.2,1.173,0.219,0.997373,99.92,1.24,2.41,isocratic,11.8,0
cream,1,1.5,2.468,0.892,0.998793,98.82,0.83,2.83,gradient,5.5,0
suspension,0,1.4,1.016,0.441,0.999959,100.29,1.04,1.43,gradient,8.6,1
cream,1,8.5,0.19,0.616,0.999941,101.74,1.12,2.07,gradient,11.6,1
api_powder,0,1.2,0.76,0.439,1.0,100.31,1.18,2.64,isocratic,10.2,0
api_powder,2,4.5,0.67,0.949,0.997147,99.38,1.2,3.14,isocratic,6.3,0
cream,3,3.9,1.615,0.684,0.999938,99.86,1.12,2.09,isocratic,6.0,0
coated_tablet,0,2.0,1.091,0.777,0.999512,97.98,1.04,1.22,gradient,7.6,1
suspension,1,6.9,0.44,0.323,0.998695,100.2,1.08,2.09,gradient,9.3,0
coated_tablet,2,4.1,0.65,0.272,0.998815,99.95,1.29,1.98,isocratic,12.4,0
cream,2,8.0,1.038,0.619,0.999895,99.3,1.57,2.52,isocratic,17.2,0
suspension,0,8.2,0.736,0.339,0.99999,100.57,1.04,2.74,gradient,20.4,0
cream,2,6.3,2.504,0.252,0.99991,99.23,0.99,1.92,isocratic,32.3,0
coated_tablet,4,1.6,0.522,0.398,0.99999,99.48,0.8,2.7,isocratic,7.3,0
suspension,1,7.8,0.751,0.616,0.999776,101.05,1.1,1.9,gradient,22.2,1
coated_tablet,0,1.9,1.717,1.001,0.999746,99.73,1.07,1.74,isocratic,10.1,0
